number,texture groups that occur together
169,"Fine sandy loam, Gravelly fine sandy loam, Gravelly loam, Sandy loam"
170,"Fine sandy loam, Gravelly fine sandy loam, Gravelly loam, Sandy loam, Very gravelly fine sandy loam"
171,"Fine sandy loam, Gravelly fine sandy loam, Gravelly sandy loam"
172,"Fine sandy loam, Gravelly fine sandy loam, Gravelly sandy loam, Gravelly very fine sandy loam, Sandy loam, Very fine sandy loam"
173,"Fine sandy loam, Gravelly fine sandy loam, Gravelly sandy loam, Loam"
174,"Fine sandy loam, Gravelly fine sandy loam, Gravelly sandy loam, Sandy loam"
175,"Fine sandy loam, Gravelly fine sandy loam, Gravelly sandy loam, Sandy loam, Very gravelly fine sandy loam"
176,"Fine sandy loam, Gravelly fine sandy loam, Gravelly silt loam, Sandy loam, Silt loam"
177,"Fine sandy loam, Gravelly fine sandy loam, Loam"
178,"Fine sandy loam, Gravelly fine sandy loam, Loam, Sandy loam"
179,"Fine sandy loam, Gravelly fine sandy loam, Loam, Sandy loam, Silt loam"
180,"Fine sandy loam, Gravelly fine sandy loam, Loam, Sandy loam, Silt loam, Very gravelly fine sandy loam"
181,"Fine sandy loam, Gravelly fine sandy loam, Loam, Sandy loam, Very fine sandy loam"
182,"Fine sandy loam, Gravelly fine sandy loam, Loam, Sandy loam, Very fine sandy loam, Very gravelly fine sandy loam"
183,"Fine sandy loam, Gravelly fine sandy loam, Loam, Sandy loam, Very gravelly fine sandy loam"
184,"Fine sandy loam, Gravelly fine sandy loam, Loam, Sandy loam, Very gravelly sandy loam"
185,"Fine sandy loam, Gravelly fine sandy loam, Loam, Silt loam"
186,"Fine sandy loam, Gravelly fine sandy loam, Loamy sand, Sandy loam"
187,"Fine sandy loam, Gravelly fine sandy loam, Sandy loam"
188,"Fine sandy loam, Gravelly fine sandy loam, Sandy loam, Silt loam"
189,"Fine sandy loam, Gravelly fine sandy loam, Silt loam, Very fine sandy loam"
190,"Fine sandy loam, Gravelly fine sandy loam, Very fine sandy loam"
191,"Fine sandy loam, Gravelly fine sandy loam, Very gravelly coarse sandy loam"
192,"Fine sandy loam, Gravelly loam"
193,"Fine sandy loam, Gravelly loam, Gravelly sandy loam"
194,"Fine sandy loam, Gravelly loam, Gravelly silt loam"
195,"Fine sandy loam, Gravelly loam, Highly organic loam, Sandy loam, Very fine sandy loam"
196,"Fine sandy loam, Gravelly loam, Highly organic loam, Sandy loam, Very fine sandy loam, Very gravelly loam"
197,"Fine sandy loam, Gravelly loam, Loam, Sandy loam"
198,"Fine sandy loam, Gravelly loam, Loam, Sandy loam, Very fine sandy loam"
199,"Fine sandy loam, Gravelly loam, Loam, Sandy loam, Very fine sandy loam, Very gravelly loam"
200,"Fine sandy loam, Gravelly loam, Sandy loam"
